day;month;year;Plot;Subplot;Moisture;Salinity;Salinity_mean;Sensor;Observations;;
2;14;2019;3;C4;15.8;0.107;0.107;5;;;
2;14;2019;3;C5;14.3;0.090;0.090;5;;;
2;14;2019;3;C6;16.3;0.125;0.125;5;;;
2;14;2019;3;D1;16.9;0.110;0.110;5;;;
2;14;2019;3;D2;14.9;0.097;0.097;5;;;
2;14;2019;3;D3;19.0;0.115;0.115;5;;;
2;14;2019;3;D4;14.7;0.090;0.090;5;;;
2;14;2019;3;D5;16.8;0.114;0.114;5;;;
2;14;2019;3;D6;15.6;0.108;0.108;5;;;
2;14;2019;3;E1;13.1;0.109;0.109;5;;;
2;14;2019;3;E2;12.9;0.112;0.112;5;;;
2;14;2019;3;E3;12.3;0.086;0.086;5;;;
2;14;2019;3;E4;12.9;0.108;0.108;5;;;
2;14;2019;3;E5;18.6;0.121;0.121;5;;;
2;14;2019;3;E6;15.1;0.118;0.118;5;;;
2;14;2019;3;F1;12.7;0.089;0.089;5;;;
2;14;2019;3;F2;13.3;0.102;0.102;5;;;
2;14;2019;3;F3;16.5;0.124;0.124;5;;;
2;14;2019;3;F4;16.7;0.132;0.132;5;;;
2;14;2019;3;F5;16.0;0.126;0.126;5;;;
2;14;2019;3;F6;17.7;0.132;0.132;5;;;
2;14;2019;4;A1;19.4;0.198;0.198;5;;;
2;14;2019;4;A2;20.4;0.217;0.217;5;;;
2;14;2019;4;A3;20.2;0.233;0.233;5;;;
2;14;2019;4;A4;19.6;0.242;0.242;5;;;
2;14;2019;4;A5;18.3;0.186;0.186;5;;;
2;14;2019;4;A6;19.5;0.176;0.176;5;;;
2;14;2019;4;B1;17.9;0.133;0.133;5;;;
2;14;2019;4;B2;20.0;0.204;0.204;5;;;
2;14;2019;4;B3;19.0;0.219;0.219;5;;;
2;14;2019;4;B4;16.0;0.158;0.158;5;;;
2;14;2019;4;B5;19.3;0.202;0.202;5;;;
2;14;2019;4;B6;15.0;0.193;0.193;5;;;
2;14;2019;4;C1;16.7;0.169;0.169;5;;;
2;14;2019;4;C2;20.0;0.215;0.215;5;;;
2;14;2019;4;C3;18.9;0.171;0.171;5;;;
2;14;2019;4;C4;19.3;0.162;0.162;5;;;
2;14;2019;4;C5;19.1;0.192;0.192;5;;;
2;14;2019;4;C6;19.2;0.209;0.209;5;;;
2;14;2019;4;D1;18.7;0.186;0.186;5;;;
2;14;2019;4;D2;20.8;0.232;0.232;5;;;
2;14;2019;4;D3;20.0;0.173;0.173;5;;;
2;14;2019;4;D4;16.7;0.126;0.126;5;;;
2;14;2019;4;D5;19.6;0.170;0.170;5;;;
2;14;2019;4;D6;20.5;0.240;0.240;5;;;
2;14;2019;4;E1;19.5;0.155;0.155;5;;;
2;14;2019;4;E2;17.9;0.179;0.179;5;;;
2;14;2019;4;E3;16.6;0.133;0.133;5;;;
